week_ending,firebaseid,e7segment
2021-10-16,R9j0HsJPYhfh753M2Ee2GXe5uGA3,1. Very Low Score
2021-10-16,TieNZFkpQ1cCrDP7gobZdtd2yiY2,1. Very Low Score
2021-10-16,AyqG7IpMkcPKbbzKAblvfLAALv22,1. Very Low Score
2021-10-16,4IZjJmJwY5Us72AksDVzA405FJl1,1. Very Low Score
2021-10-16,tvGmu2uEAKYxDCVEFm9B4F239IA2,1. Very Low Score
2021-10-16,l2kVHzEYRTQ5JNzsMoMIJwfD1Vz1,1. Very Low Score
2021-10-16,RQ1uU5GLP6TUrSd4AXqQXr626zO2,1. Very Low Score
2021-10-16,6cUk8r6oKIaaKvPCOwDNLAbqS4k1,1. Very Low Score
2021-10-16,E146LvRG0VYNK23pqUlXf8dzAV82,1. Very Low Score
2021-10-16,CB22tsSbX6d6PlZC1EI3AckVDpu2,1. Very Low Score
2021-10-16,2dJZ6jqma5WzfvjbjYBSd1JzbDy2,1. Very Low Score
2021-10-16,wbBThppbtpO8faSma3CFlt9Tez42,1. Very Low Score
2021-10-16,1Z9KnMkE1WRcfCCtvJ6e6N7DHeI2,1. Very Low Score
2021-10-16,L0DTUW8KbJdwbWuX9yOd2XRv0Os2,1. Very Low Score
2021-10-16,xxqqKJwjwIPHDUWl6xfuAPiNIPt1,1. Very Low Score
2021-10-16,NKGkgyGf7pe43TODys7CbAKKwm32,1. Very Low Score
2021-10-16,mlfNOxNa8qhu2RHLkondMYRxXcP2,1. Very Low Score
2021-10-23,fcCgVpITTScZEKbVhuqv4KxXyVL2,1. Very Low Score
2021-10-23,CyduOza7eLNDKYfVY1iPHqXoD6M2,1. Very Low Score
2021-10-23,tC22B4iHP2P0omNT6xWSUnKPVCg1,1. Very Low Score
2021-10-23,94KHaAh9h5VWsUsvCATWwFyFuSI3,1. Very Low Score
2021-10-23,P4LXCzNjmbccI49Jp2myUTHGqgf1,1. Very Low Score
2021-10-23,XhertHpftfMVPdtnVqtq86Jn0uS2,1. Very Low Score
2021-10-23,UGyZ72MoR9T0Jd0J9MkzIe3U7hg1,1. Very Low Score
2021-10-23,EyFngoeBXbSu4KSssXOxE1rBSKX2,1. Very Low Score
2021-10-23,mcANH76XJUVLNvg85rrTGJdNt4I2,1. Very Low Score
2021-10-23,5jF0RDjhPzR92OmAbpkerDVwmAW2,1. Very Low Score
2021-10-23,f3gW2jBWm3dq1BYfZg4FbmRZPP23,1. Very Low Score
2021-10-23,s78ysKCl3yeepoBdHpWMnVZjHvL2,1. Very Low Score
2021-10-23,g1bxInv8VYOecjhVTmCGYvZM4K72,1. Very Low Score
2021-10-23,u0l9YZuGRlUIYEKrAuVDA3Wulse2,1. Very Low Score
2021-10-30,Ezkzbx0NI9Ww71iEQs6yXNJ25xr2,1. Very Low Score
2021-10-30,UgHEexRnS4aCjIQhi7LeFVSdXSy2,1. Very Low Score
2021-10-30,qWZiiw882JZsiQQPIvv54kjO82e2,1. Very Low Score
2021-10-30,Sfqw0oiMT5TtQ5XvXOU12lfLw243,1. Very Low Score
2021-10-30,kyrLxcUEOoQCZRigd0mHmULrOuM2,1. Very Low Score
2021-10-30,sOdFX0RHDnMi4No5Nm4RG9FmXEN2,1. Very Low Score
2021-10-30,a5CxxjOsFvX4meePbLZSdasgtMC3,1. Very Low Score
2021-10-30,bDSDbdLdyBTC0DK1cZArT99KFf72,1. Very Low Score
2021-10-02,PxVhFsTxiQQwjkM95wcEFIZOg2f1,2. Low Score
2021-10-02,Om5IsiNbcyZNigKnLYovuxXOG0V2,2. Low Score
2021-10-02,hCgOdEkWqUMF5NppV2rsRuZQdg03,2. Low Score
2021-10-02,IWhiY8MUPORIcZcnR4O3VHeHlxH2,2. Low Score
2021-10-02,eKEUkHpQA7WL4IsVWNmoKcAsb0C2,2. Low Score
2021-10-02,cS9QvnpzQoXFqbkjl4aHj3TbURw2,2. Low Score
2021-10-02,MkFzNCFeXFW24VKP4hadHITbtcU2,2. Low Score
2021-10-02,bDrBJYoMAgZgHOmA40tTqk0Z4K43,2. Low Score
2021-10-02,oDOECA1YF3P2WiWu1FgNwMmbJBK2,2. Low Score
2021-10-02,ETLV55NhB0Y5T9QvnZNx4quXHDu2,2. Low Score
2021-10-02,P35VzpCPJFgaeTlZGpfX5t3hcOb2,2. Low Score
2021-10-02,FGaQMmqP1GclMdHmHWqw1El5Jw82,2. Low Score
2021-10-02,w0YFQWdCBEdR1R73teqj3PmyZPl2,2. Low Score
2021-10-02,BLo3xu470xSkaJloWGHjdz8tGwc2,2. Low Score
2021-10-02,11sNhxaEWpcuj7iAxYIs5XjrUMG2,2. Low Score
2021-10-02,KWyMiTFMgyQpA3YDz5zlDArjj7V2,2. Low Score
2021-10-02,hbbYsV3QvEU9cwbReseRslEulVD2,2. Low Score
2021-10-02,dX05Q0kTgTRbyM1MZF0pDU1eWZq2,2. Low Score
2021-10-02,gL7PJrErP6MqnyKYKrfaFDH51MP2,2. Low Score
2021-10-02,6zJN1vURTTMAIqy74pHvn5kPNcl1,2. Low Score
2021-10-02,z2lK4CXW4IXKvZ0v8FLUA9oKBOQ2,2. Low Score
2021-10-02,huO0UlHW8AeAdt7SIyY96chjEeu2,2. Low Score
2021-10-02,nEYHSPWdDoe67Wg9Jsjd1kKAE1a2,2. Low Score
2021-10-02,pDM5ojgOcXfaCmCfsmR0VThwPEE3,2. Low Score
2021-10-02,1AG3HBKcIzPHenp4TXlHfcDVis83,2. Low Score
2021-10-02,1KHaNwEOszTjAchIjvpxJm9Xics1,2. Low Score
2021-10-02,Ym8hP4OnGXVqt9lI9wc06qySCJg1,2. Low Score
2021-10-02,QFmMU4ZiCLSqGyXLP10lUqj7nmu1,2. Low Score
2021-10-02,lufawrlXk3RnTQz0BJYp74GLOcB2,2. Low Score
2021-10-02,LjjxYbFFzNQbHiAD20thZPLSa7w1,2. Low Score
2021-10-02,PVJWXelY30SGUYwh3AFuAbDKlY63,2. Low Score
2021-10-02,EE5jv61dWShp3bv741g1RVfl36z1,2. Low Score
2021-10-02,kKXp1gXDtKP9cDPZYbjYKHEW0Rv2,2. Low Score
2021-10-02,KrICrp5E4efVHPd7tfqavdMkRPD2,2. Low Score
2021-10-02,4unHVT90kGOIY095KQNd0ErKXUr2,2. Low Score
2021-10-02,b0flBgo8NxUGGiwOKPSY94mNwHv2,2. Low Score
2021-10-02,zbsTN4z0Zva0TAi6zbDVAsopGKQ2,2. Low Score
2021-10-02,9xymKNx6U9UDjholixUN56HVjLw1,2. Low Score
2021-10-02,Wfo92f70UfVYXDTuCOLMAaBcIsG2,2. Low Score
2021-10-02,reDW6kPvYlaJq6lcDoVGeFCnmpK2,2. Low Score
2021-10-02,OeeiY6jJHtafHS1XsyeC10ML8V63,2. Low Score
2021-10-02,ObxV5QKU97Z9yh5hVzsb7ZkQjiH3,2. Low Score
2021-10-02,xtZoYpk7kLeykOc0Gf0rfFu6HW03,2. Low Score
2021-10-02,AOY8nB4cfnPBtYW9Q5u6TICaAzm2,2. Low Score
2021-10-02,1azWQnx1O0VKvbpkDWtrtbMdVLr1,2. Low Score
2021-10-02,xdxMcdYbVRXFhX74iFn1ickBjnM2,2. Low Score
2021-10-02,9JxAbc1bTkV9PrJld0dUbuQrCuu2,2. Low Score
2021-10-02,avIEfrOpXZOsY0JPwD5jwC8DeJm2,2. Low Score
2021-10-02,uYrduldKqTheYX6ud9cBjHTm5Lo1,2. Low Score
2021-10-02,W7hDXIFc8wOgVaenPCtc4IH0M793,2. Low Score
2021-10-02,MvyT17l0POZVyItxpAKKt2slWNz2,2. Low Score
2021-10-02,r86hANLEKzRJF9aHf96SqrNCRz82,2. Low Score
2021-10-02,FqhcvKy5UvfiQCA9iJuj2ZXO6qk1,2. Low Score
2021-10-02,RxZ4RoYVweYtc1nB1PZDk3LgxOc2,2. Low Score
2021-10-02,lzvsdZHAsrTibmfj21GMCqjLuy63,2. Low Score
2021-10-02,G4vGBS1lPKhTLAh7RwoTRhVYGtJ3,2. Low Score
2021-10-02,wa2QO6HJC9MyghdhEs5wJqDZNwv1,2. Low Score
2021-10-02,z8QYozxL31SovYM8d9JDCeAmwuC2,2. Low Score
2021-10-02,oLUkDruhaBUCrf9DvNMvwugsFaH2,2. Low Score
2021-10-02,rYAeO5ONACQaqzNNEqUtWFdpJw12,2. Low Score
2021-10-02,zhy1rtu3akXKpmYec6vFi1ncpsk1,2. Low Score
2021-10-02,fuGZjLjNJRSC5I0ivCXn5he9Gtz2,2. Low Score
2021-10-02,GvCErWKyDNg4BPo6x3xSkq4SZn33,2. Low Score
2021-10-02,FAAUQukGDAXYcsAOOMP8eqQmD792,2. Low Score
2021-10-02,0mfg9Rr1GYST44ssSUWZBrY8PWu1,2. Low Score
2021-10-02,8w0SG3vOtuMdCp8TgwKADoqJzlE3,2. Low Score
2021-10-02,PcJlvbKh14cA3unEmJApeg0zLfv2,2. Low Score
2021-10-02,WC44JChlxvc9petXQppwsLDM5e12,2. Low Score
2021-10-02,CtR9DKDfi3T2eslb1fNbadOMx9A2,2. Low Score
2021-10-02,CFNY0Q1mSJYkyXQCLpGpc0bPMhA3,2. Low Score
2021-10-02,n07PPVZyGqWXPFW4YethBdecI1T2,2. Low Score
2021-10-02,bygiOpvamacImp6dHQ0YpV7WEKE2,2. Low Score
2021-10-02,2jGidGdcTNdJSJZmdMGLOAR5GD92,2. Low Score
2021-10-02,j8eVMDd9gDaPpAHQFTIgVRLt4q22,2. Low Score
2021-10-02,SiDnbL1C9rcZLLSXJacRIWwLOEG3,2. Low Score
2021-10-02,46NpknDtIoWdHpUBlxJoSWT4kry2,2. Low Score
2021-10-02,2lmjkOScDCfbNSrzsCaCAgbjffv1,2. Low Score
2021-10-02,rkG5G5wraXfn2LyMFF4aOk6GPgz1,2. Low Score
2021-10-02,awk2Z7yWu0ZvqPTzc0fesr2h07l2,2. Low Score
2021-10-02,yIm9ZROwjhUiFSX8FTwjv98S7AX2,2. Low Score
2021-10-02,P81eOD1ZWvP1MZk1mhud7NaIPT43,2. Low Score
2021-10-02,K1k8CEyexEdbe94LvQ8QbgRjwJm1,2. Low Score
2021-10-02,Tz3EE4O2cQa1qSjv9kzfYclUBZG3,2. Low Score
2021-10-02,PWNCIGPKvcfKyvL6XKXl90r4niU2,2. Low Score
2021-10-02,xi8olBS19Fg8fYUsOOID2ciWamo2,2. Low Score
2021-10-02,7zj5etLZn0ZEuQW2QZk6aghUUpK2,2. Low Score
2021-10-02,vspPiUp8EcUB1G1cHisOfm2QDRV2,2. Low Score
2021-10-02,2zWyifMaBsdjkc0PGOEboPSJFvU2,2. Low Score
2021-10-02,UBZyIOMelSanycgWq9L20t29wxm1,2. Low Score
2021-10-02,8AXu99nKVWaXAgWps58qSXBPWWa2,2. Low Score
2021-10-02,NkcExczjj0eIU2fBAVl5ypj8Edk1,2. Low Score
2021-10-02,JunwaVKfkjcfNdnH184WfojiKE73,2. Low Score
2021-10-02,c1YpEIQ2RZWY5IdNtkBFJQOJrow2,2. Low Score
2021-10-02,EVewYFqQjgQKsOUIoXQlfoyvLr13,2. Low Score
2021-10-02,hbqXG7WIVrZ1ScMVYrL0ztmE6CH3,2. Low Score
2021-10-02,nhuuHti66DVelcKmDvupnkjhxe73,2. Low Score
2021-10-02,SJCJlLqfzDf7nfIwT6snphATzcl1,2. Low Score
2021-10-02,7uqdy1MWqGMPrjIhGeX2pdXXLkB2,2. Low Score
2021-10-02,8coYAh7wX0N31ynldmgVndTEDx62,2. Low Score
2021-10-02,lmXYFQtL2POPa4cpRGAyX61RWsj2,2. Low Score
2021-10-02,jd6Peo30UgdrEycfxlV90rIQuII2,2. Low Score
2021-10-02,cPko9puBzSVvAeiDpuhw0vLQIYH2,2. Low Score
2021-10-02,wEfdNhCNGPZSQfEqrI6AHkjIdRs1,2. Low Score
2021-10-02,yIIZhIz5CmQn3GILYRIUauQtMpw1,2. Low Score
2021-10-02,KvcWaL7wlHeorzkgO4p1PqZqvH12,2. Low Score
2021-10-02,HXEstt4WcDVIFVNKFkXFI7mzGNp2,2. Low Score
2021-10-02,lLlEXVT1DNdbLAhs3VFPX1s9UNR2,2. Low Score
2021-10-02,NDXW8CnfR1Z7IokargQ5znYsIPx1,2. Low Score
2021-10-02,C7n36aOcFWdVMX9k0Hhp8zfkxPr1,2. Low Score
2021-10-02,ECOYnR5qaUYqZ0kIyNWIC44Akmh2,2. Low Score
2021-10-02,Uo3BkRyAxQdg7WB7oLdIGfvQ9Tb2,2. Low Score
2021-10-02,dCOcOxmyi5henEa2zaqtY2qBd4m2,2. Low Score
2021-10-02,JS6MIhk62MgVv4lnZI92PBq38qi1,2. Low Score
2021-10-02,a2ezph2ejDcG4NorEwUaRYLLuSJ3,2. Low Score
2021-10-02,0njssIUX96ZGh4A193IeyRcla8e2,2. Low Score
2021-10-02,aH056vQtCUgoyVzx2WbmeYiibkf2,2. Low Score
2021-10-02,8WSM8PpOlrTyY8dSNaFZDvUZrdm2,2. Low Score
2021-10-02,8nuPDsIvRxWZsOU6219L32QxIZH2,2. Low Score
2021-10-02,R2rfAk2nvafSHDgwuzGyzYWWqo82,2. Low Score
2021-10-02,8gWMvP9HN5P3y1d14AzTIbcmH832,2. Low Score
2021-10-02,oqRW5QPdk8MNoSem5iv92oFe4Oi1,2. Low Score
2021-10-02,UCK192AHG6XzrjyJUNytJNdTfOm1,2. Low Score
2021-10-02,LCPbx0ICiBg56EH9NwV63X8L7hk1,2. Low Score
2021-10-02,brkbNGdV92ee9YmBn2NcJUYtRLx2,2. Low Score
2021-10-02,ZwobHZ3EPjRQZeC9jhddp2brZ0A2,2. Low Score
2021-10-02,sRfmJCFveFcdoClmqTx5IEyqFlH3,2. Low Score
2021-10-02,iy9fjtoM4Ge3ccqyQcFLNvqSfvq2,2. Low Score
2021-10-02,QiHd2A02qKac5qseMMynTRov23L2,2. Low Score
2021-10-02,nanrI6fE6ZeaUUO9RuuRKATLgdW2,2. Low Score
2021-10-02,Ofsm6snu7cMKyeI43ak5ghK4Q3G2,2. Low Score
2021-10-02,nHENmLlQGJUGR5uMZeJCOq10hmf2,2. Low Score
2021-10-02,WuYYZ7KoZPQJsUaUFQfO9nlHl1N2,2. Low Score
2021-10-02,eqCM0MgT07YP44H58uL2iwSRZKt1,2. Low Score
2021-10-02,f6mWXdegn7PgNaVX6JeytRJuVOf2,2. Low Score
2021-10-02,VOkAacrCz4aQq8F6cyY1a5hHDdr1,2. Low Score
2021-10-02,6uSUii7YPpOvi0bQElMrNRmJkaA3,2. Low Score
2021-10-02,wZY9i1GHXSa0mD0SoDHFZzEB4nT2,2. Low Score
2021-10-02,RaicBs79HQbwBeAk9fbspvLcT9q2,2. Low Score
2021-10-02,qkELL2crCPbHxYpVZOzQ7YKwp7O2,2. Low Score
2021-10-02,5V9NmxRQxKhogH1KNoNDWQx1Jlp1,2. Low Score
2021-10-02,MRHAtLOzspcuYOLA1NaXinzNWwR2,2. Low Score
2021-10-02,aVtR7Sisi6RAuWOPIeiumvPBZol2,2. Low Score
2021-10-02,dfFBtYHGPnQPikiU20fugHH1YiS2,2. Low Score
2021-10-02,pQhKnhcOLjXxSRi5YjQq2XTMhCc2,2. Low Score
2021-10-02,Y4Mk4AUhXJf6rok0JdsGS62FvvX2,2. Low Score
2021-10-02,fmyPsEvfnqRcK05AuMW5yBIwn0K3,2. Low Score
2021-10-02,pmgl7R4CbeRUbPLHb0opULbvQVA3,2. Low Score
2021-10-02,1uKUnnEEtpVTdDGqc5cu5idnXmz1,2. Low Score
2021-10-02,JbEGRvpdSgQ5VD5si3zwlCZjfS72,2. Low Score
2021-10-02,dSMNCuCJeJYXhzp1LepiIbCtTIt1,2. Low Score
2021-10-02,brWXDzQL8zU4izCCKzsKYiArhSA2,2. Low Score
2021-10-02,tiwHSfUf1tg3lSwApmCwIL2S9g52,2. Low Score
2021-10-02,8TxsaOvVL3ZkbspbMbamujg7yPy2,2. Low Score
2021-10-02,KHFvgNyFmRSwWUFmTnuX7ehNNfy1,2. Low Score
2021-10-02,Z1athzmg3OQw1CSq8HVH3TWVuwl2,2. Low Score
2021-10-02,5c4aOxIw1CNeruL8rAUojMTf4Ek1,2. Low Score
2021-10-02,jtxvvY8v4sdL6HJz4o5yHAccu1C2,2. Low Score
2021-10-02,V1PxSEErw0YLlQPtqfvmklAZLOi1,2. Low Score
2021-10-02,CNbe1gzvlOO0hUMHxbZAaKsWb2k1,2. Low Score
2021-10-02,MdCnBcMDipU3e8YWa2AEqoP0NYR2,2. Low Score
2021-10-02,otV1wkK2YrbDhmw0UANtYtL5kgp1,2. Low Score
2021-10-02,eKUWahv59zU8yMU91mSe7sDalBC3,2. Low Score
2021-10-02,aV5tf3Bc1dN9oHfctSoxuXmHumh2,2. Low Score
2021-10-02,MhpmJEqbdYUWTfmJ6xLdnIaqUXE2,2. Low Score
2021-10-02,2rIaMbNqoHSf1gvurZnuDRPJT7m1,2. Low Score
2021-10-02,CSU8dUCjiMXgYjwL5Ec4M1Y67QK2,2. Low Score
2021-10-02,anZB0eQlorhL1Bif5MI9oskGS3p1,2. Low Score
2021-10-02,VhwFEJHL3fVHbJI02bNHam2wD7u2,2. Low Score
2021-10-02,YXNkOKiyunYlfrhbhVWcXo3QBdX2,2. Low Score
2021-10-02,eV4U65fvIiT7qepD5RUsXhar0e62,2. Low Score
2021-10-02,TlRHpjP3tkTaT9XnfkwgWHxCF1h1,2. Low Score
2021-10-02,Xvvwu3LgNNdKhHtbX26A2OPMgwP2,2. Low Score
2021-10-02,O9iYv0qz9nSrpgNSW98XBvipNTw2,2. Low Score
2021-10-02,HlYuuRcH0bhiA8wNIt4u7PTLyqB2,2. Low Score
2021-10-02,jnUrO5FgE8hCvYipurtHW0hnkvE3,2. Low Score
2021-10-02,eKNcC6bwtvUdWyZ3Bp9pfYz0OBI3,2. Low Score
2021-10-02,nC6ni9xhhLcBBog00nPDFufjQSn1,2. Low Score
2021-10-02,rIoarguOBTa08b2g2BYfOlzqE9n2,2. Low Score
2021-10-02,6dLK0B1XKuW2oAnVc3CF6wRF4JI3,2. Low Score
2021-10-02,560re9wztvVFlG22iv9m0b8wxZ63,2. Low Score
2021-10-02,bE5Ta1yuSBRXOYiwmbksRr8Uigt1,2. Low Score
2021-10-02,CQWZxLfEcROtnDGmDgTa1ffc17P2,2. Low Score
2021-10-02,2MVqUpDaGnPIeC9GEuqhR7Rr0A42,2. Low Score
2021-10-02,WiDt83W9WRNP8xfHUAbCb8QLxLe2,2. Low Score
2021-10-02,7SLe99DR2IYn6PGpJEP7rsAdpM83,2. Low Score
2021-10-02,vFvZKiBtt0duNN9lpYMmnqmWY6I2,2. Low Score
2021-10-02,urxm4FNpoChI3L8ny6irOYJzRgR2,2. Low Score
2021-10-02,ozZ3HaujPTOh1v7Rx6ehl8Ml9qy1,2. Low Score
2021-10-02,yUJeViJEQpT5jevk8y7eVcbWBBk2,2. Low Score
2021-10-02,PmIdvJAufVRMm8BczrAhoPTEiQM2,2. Low Score
2021-10-02,BcbBvm6fHwWYBOEJe1RTsgmLqCu2,2. Low Score
2021-10-02,vtbDaixw4vZ63VKctNyjZwkqBot1,2. Low Score
2021-10-02,nHGDgmwSC9UCmk6DOHEgGqYBiZ13,2. Low Score
2021-10-02,RUZ4iENQwrNqxBi3rNYaknMvnnH2,2. Low Score
2021-10-02,nCaUQ0DNh5WAGjxwQAb5mo0Wlf73,2. Low Score
2021-10-02,cg8sNFAYkZbA7yTnWg7OieAh4eS2,2. Low Score
2021-10-02,Cilv0wJxEvaMANRoEetN76FkST43,2. Low Score
2021-10-02,5tj9lqKbzhNVLIcF934eLPw5pRU2,2. Low Score
2021-10-02,Z85J3p9P9waoQj151LtBS9YwtyP2,2. Low Score
2021-10-02,tygvs6FRuDT9plOsz9yXGwTISd83,2. Low Score
2021-10-02,KkDtFlR4SkT4ZtIZNJesLcfWzog1,2. Low Score
2021-10-02,im6rYNrXCuXcYY6BpH9TzZZaPFZ2,2. Low Score
2021-10-02,oHdhuNYaF1ckfxsMbcY29Y41mrM2,2. Low Score
2021-10-02,SqInUHAes5NmJ8amwjahXoDNsAB3,2. Low Score
2021-10-02,7SzZE1MEb9OAWHW2PUh9eLcCYDr2,2. Low Score
2021-10-02,wqaEL17I9XYvxXy3RAGGVl5CvFg2,2. Low Score
2021-10-02,XfBu1UbvS1QaTOi7Z55tsYD0KkJ2,2. Low Score
2021-10-02,FuRpHEql7FZPNi51eUtrxmSpRWi1,2. Low Score
2021-10-02,qM6On7dpjpXjRhCJGQ2hwFM4fB32,2. Low Score
2021-10-02,ykbqJQ8SE9djprIvaJUsKCh5hzn2,2. Low Score
2021-10-02,ZV8oPxNdb6PnJTW7WrnR0cODgQq2,2. Low Score
2021-10-02,j6WoCp6pBjYdnbitDv2Ut149Mqu1,2. Low Score
2021-10-02,0T1xaoPGsDVVipDFZvZWUJ2LoiT2,2. Low Score
2021-10-02,4UmwkYLRFgRzTP8DqMCeTD6pzu72,2. Low Score
2021-10-02,N825b4i95uQnqx8bGWhLsOKHpRI3,2. Low Score
2021-10-02,BzMeIBZ8WhU5Qk2TBrFXZw9muDw2,2. Low Score
2021-10-02,HAIgZ9MZP2b5P31UEBlyVK1jPg32,2. Low Score
2021-10-02,Z5hiam6NnRWlhQl4zHP7PefWiel2,2. Low Score
2021-10-02,zvg6oHF2OwNW2S8lsvo3fnLmlpw1,2. Low Score
2021-10-02,c1nV2yKSGKY91yfLWLAT5Ej9G2D3,2. Low Score
2021-10-02,KODHL9bC1waNkFBk78eLjeKQa6X2,2. Low Score
2021-10-02,MocG2UnbXGcGiyGqutU0WQGQS8m2,2. Low Score
2021-10-02,n68n18dEMtXJXwYXNUVRmSjQMcU2,2. Low Score
2021-10-02,VKwhmFH0p7by6DC6nsg5SbneNHk2,2. Low Score
2021-10-02,zJjwMlRU2PRS5Xt4eIcoJO4gf3I3,2. Low Score
2021-10-02,9gbtJkjc7dPEPA89zNJlnl3L6ZR2,2. Low Score
2021-10-02,ywrmV8WkJrfpAsExrykIvzc4PVS2,2. Low Score
2021-10-02,vF2v7cFU9IX4uQNGFgPPV72PuUi2,2. Low Score
2021-10-02,OAEFG6wWEtfTYPzsXaUiGrhwZMJ3,2. Low Score
2021-10-02,ZaZipI0LnDhjs6Hpb6TNJvKwD5Q2,2. Low Score
2021-10-02,EYKLySbXLnR2mVtIFyumZlyF3pp1,2. Low Score
2021-10-02,hlRQAWCVc1QGzds85RBnoKkFtk73,2. Low Score
2021-10-02,6jhP5Wignjc5tbjEHJtv95wzWIx1,2. Low Score
2021-10-02,d8yczqhWndNt2hjMZ4zKaMA5JPz2,2. Low Score
2021-10-02,tHB2T6X5PzWX4KrdB46tRHrRdY73,2. Low Score
2021-10-02,lK5oYlTjyUPuakpWdu72e6DGTb53,2. Low Score
2021-10-02,quEZVSEzXMPsKl4DaXVTfSShU492,2. Low Score
2021-10-02,5yXJZ2jsASgcoayZ73nd4mguZS12,2. Low Score
2021-10-02,FHJAr097N3RUiylRlGNpFO5eHc32,2. Low Score
2021-10-02,JSamZG9vQ6NhKxYgdzIOG6RnLJs2,2. Low Score
2021-10-02,UvCCUvQDucYE3Q6lWQEMZR5tFsi1,2. Low Score
2021-10-02,JYztJ5VyLOShcNKNU1pr8q3P2Na2,2. Low Score
2021-10-02,mvh8LI33hrfRxR9FGXmlKkHwDQt1,2. Low Score
2021-10-02,LAo5Etfmg7b8Q4oSQr8nsI6E5bn1,2. Low Score
2021-10-02,j1Ho5IhqbCdOLJMKIyJ2U5hoRmm1,2. Low Score
2021-10-02,XsGz631boyYIh40xIDutkIcctnl2,2. Low Score
2021-10-02,I1MCECobIVQ0Bfq8P70g6h8v2LT2,2. Low Score
2021-10-02,HBuNKka6ecdsO5lXmkK7kIo6z4S2,2. Low Score
2021-10-02,hJ17lUivX1bjozDczMiCXlS70vL2,2. Low Score
2021-10-02,YlQP7LWxFBM40j9DdqFwHllOwll2,2. Low Score
2021-10-02,5nRJI20JA9emImkE8dTIUvUXVLI3,2. Low Score
2021-10-02,mP4N83hc0eSQMBVCEiuROlc2AY03,2. Low Score
2021-10-02,odQuVCxq3WeYbW459ah3r9xkWBr1,2. Low Score
2021-10-02,RNVmoJpoYgUrDqp9anN7v9liPZs2,2. Low Score
2021-10-02,3FC07Bsl0eamycMY2zGRluQDJsn1,2. Low Score
2021-10-02,2Al4ihUnOFcgEOPJlxa4dgYXJl32,2. Low Score
2021-10-02,U2QK4agq2HeVf4lOLDPQj6I6vs73,2. Low Score
2021-10-02,cIMY7FDdkAZ5fhjxEXdd6l81zsL2,2. Low Score
2021-10-02,3LIvoMhoduRTGQk4PV3hoOf20tc2,2. Low Score
2021-10-02,cNCwHIsiq5Tgnpn9RE6MVtbUtAS2,2. Low Score
2021-10-02,HVWNwuwBFXcsYFDcnVmlyXw6XOV2,2. Low Score
2021-10-02,MDm98fqa2SazH3JONQAXqrLW13d2,2. Low Score
